"ITTER107,""Territory"",""TIPO_DATO14"",""Data type"",""TIPO_ATTIVITASAN"",""Type of clinical specialty"",""TIME"",""Select time"",""Value"",""Flag Codes"",""Flags"""
"ITC,""Nord-ovest"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",5068,,"
"ITC,""Nord-ovest"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",891083,,"
"ITC,""Nord-ovest"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.42,,"
"ITC,""Nord-ovest"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.31,,"
"ITC,""Nord-ovest"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",423631,,"
"ITC,""Nord-ovest"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",26.31,,"
"ITC,""Nord-ovest"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",42711,,"
"ITC,""Nord-ovest"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",12041221,,"
"ITC,""Nord-ovest"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.08,,"
"ITC,""Nord-ovest"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.65,,"
"ITC,""Nord-ovest"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",1977,,"
"ITC,""Nord-ovest"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",537518,,"
"ITC,""Nord-ovest"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",29.16,,"
"ITC,""Nord-ovest"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.12,,"
"ITC,""Nord-ovest"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",10352,,"
"ITC,""Nord-ovest"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",3498752,,"
"ITC,""Nord-ovest"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",24.41,,"
"ITC,""Nord-ovest"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.64,,"
"ITC1,""Piemonte"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",14657,,"
"ITC1,""Piemonte"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",4284091,,"
"ITC1,""Piemonte"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",1974,,"
"ITC1,""Piemonte"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",287477,,"
"ITC1,""Piemonte"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.34,,"
"ITC1,""Piemonte"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.45,,"
"ITC1,""Piemonte"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",121418,,"
"ITC1,""Piemonte"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",27.69,,"
"ITC1,""Piemonte"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",10509,,"
"ITC1,""Piemonte"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",2990011,,"
"ITC1,""Piemonte"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.04,,"
"ITC1,""Piemonte"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.4,,"
"ITC1,""Piemonte"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",1002,,"
"ITC1,""Piemonte"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",317683,,"
"ITC1,""Piemonte"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",35.73,,"
"ITC1,""Piemonte"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.23,,"
"ITC1,""Piemonte"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",3146,,"
"ITC1,""Piemonte"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",976397,,"
"ITC1,""Piemonte"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",26.82,,"
"ITC1,""Piemonte"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.72,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",451,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",125708,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",41,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",16476,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.56,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.32,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",5657,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",44.7,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",360,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",100704,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.15,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.84,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",16,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",5228,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",24.32,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.13,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",75,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",19776,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",19.52,,"
"ITC2,""Valle d'Aosta / Vallée d'Aoste"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.59,,"
"ITC3,""Liguria"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",4994,,"
"ITC3,""Liguria"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",1593388,,"
"ITC3,""Liguria"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",662,,"
"ITC3,""Liguria"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",290023,,"
"ITC3,""Liguria"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.2,,"
"ITC3,""Liguria"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.42,,"
"ITC3,""Liguria"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",66695,,"
"ITC3,""Liguria"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",42.72,,"
"ITC3,""Liguria"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",4100,,"
"ITC3,""Liguria"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",1310625,,"
"ITC3,""Liguria"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.65,,"
"ITC3,""Liguria"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.63,,"
"ITC3,""Liguria"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",226,,"
"ITC3,""Liguria"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",76099,,"
"ITC3,""Liguria"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",18.32,,"
"ITC3,""Liguria"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.14,,"
"ITC3,""Liguria"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",668,,"
"ITC3,""Liguria"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",206664,,"
"ITC3,""Liguria"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",20.53,,"
"ITC3,""Liguria"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.43,,"
"ITC4,""Lombardia"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",34938,,"
"ITC4,""Lombardia"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",10074304,,"
"ITC4,""Lombardia"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",2391,,"
"ITC4,""Lombardia"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",297107,,"
"ITC4,""Lombardia"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.48,,"
"ITC4,""Lombardia"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.24,,"
"ITC4,""Lombardia"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",229861,,"
"ITC4,""Lombardia"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",22.92,,"
"ITC4,""Lombardia"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",27742,,"
"ITC4,""Lombardia"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",7639881,,"
"ITC4,""Lombardia"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.01,,"
"ITC4,""Lombardia"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.77,,"
"ITC4,""Lombardia"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",733,,"
"ITC4,""Lombardia"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",138508,,"
"ITC4,""Lombardia"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",26.76,,"
"ITC4,""Lombardia"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.07,,"
"ITC4,""Lombardia"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",6463,,"
"ITC4,""Lombardia"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",2295915,,"
"ITC4,""Lombardia"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",23.95,,"
"ITC4,""Lombardia"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.64,,"
"ITD,""Nord-est"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",39942,,"
"ITD,""Nord-est"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",11683038,,"
"ITD,""Nord-est"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",3252,,"
"ITD,""Nord-est"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",796335,,"
"ITD,""Nord-est"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.43,,"
"ITD,""Nord-est"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.28,,"
"ITD,""Nord-est"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",312348,,"
"ITD,""Nord-est"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",26.84,,"
"ITD,""Nord-est"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",32797,,"
"ITD,""Nord-est"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",9301006,,"
"ITD,""Nord-est"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.09,,"
"ITD,""Nord-est"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.82,,"
"ITD,""Nord-est"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",3073,,"
"ITD,""Nord-est"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",982669,,"
"ITD,""Nord-est"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",21.1,,"
"ITD,""Nord-est"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.26,,"
"ITD,""Nord-est"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",4072,,"
"ITD,""Nord-est"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",1399363,,"
"ITD,""Nord-est"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",22.85,,"
"ITD,""Nord-est"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.35,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",3739,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",1123639,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",418,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",93120,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.51,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.39,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",37142,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",34.87,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",2825,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",802886,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.15,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.65,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",363,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",134587,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",24.37,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.34,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",551,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",186166,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",20.81,,"
"ITDA,""Trentino Alto Adige / Südtirol"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.52,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",1843,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",548340,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",183,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",30041,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.5,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.35,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",16175,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",30.75,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",1461,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",428756,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",6.89,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.78,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",170,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",45714,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",19.88,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""13"",""long term care"",""2017"",""2017"",0.32,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""19"",""inpatient hospital beds"",""14"",""rehabilitation"",""2017"",""2017"",212,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""25"",""inpatient beddays in hospital"",""14"",""rehabilitation"",""2017"",""2017"",73870,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""27"",""average lenght of stay in hospital (inpatient)"",""14"",""rehabilitation"",""2017"",""2017"",21.81,,"
"ITD1,""Provincia Autonoma Bolzano / Bozen"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""14"",""rehabilitation"",""2017"",""2017"",0.4,,"
"ITD2,""Provincia Autonoma Trento"",""19"",""inpatient hospital beds"",""99"",""total"",""2017"",""2017"",1896,,"
"ITD2,""Provincia Autonoma Trento"",""25"",""inpatient beddays in hospital"",""99"",""total"",""2017"",""2017"",575299,,"
"ITD2,""Provincia Autonoma Trento"",""28"",""day hospital beds"",""99"",""total"",""2017"",""2017"",235,,"
"ITD2,""Provincia Autonoma Trento"",""30"",""day hospital beddays"",""99"",""total"",""2017"",""2017"",63079,,"
"ITD2,""Provincia Autonoma Trento"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",3.52,,"
"ITD2,""Provincia Autonoma Trento"",""115"",""day cases  beds per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",0.44,,"
"ITD2,""Provincia Autonoma Trento"",""118"",""day hospital discharges"",""99"",""total"",""2017"",""2017"",20967,,"
"ITD2,""Provincia Autonoma Trento"",""119"",""day hospital discharges per 1,000 inhabitants"",""99"",""total"",""2017"",""2017"",38.88,,"
"ITD2,""Provincia Autonoma Trento"",""19"",""inpatient hospital beds"",""12"",""acute care"",""2017"",""2017"",1364,,"
"ITD2,""Provincia Autonoma Trento"",""25"",""inpatient beddays in hospital"",""12"",""acute care"",""2017"",""2017"",374130,,"
"ITD2,""Provincia Autonoma Trento"",""27"",""average lenght of stay in hospital (inpatient)"",""12"",""acute care"",""2017"",""2017"",7.49,,"
"ITD2,""Provincia Autonoma Trento"",""111"",""inpatient hospital beds per 1,000 inhabitants"",""12"",""acute care"",""2017"",""2017"",2.53,,"
"ITD2,""Provincia Autonoma Trento"",""19"",""inpatient hospital beds"",""13"",""long term care"",""2017"",""2017"",193,,"
"ITD2,""Provincia Autonoma Trento"",""25"",""inpatient beddays in hospital"",""13"",""long term care"",""2017"",""2017"",88873,,"
"ITD2,""Provincia Autonoma Trento"",""27"",""average lenght of stay in hospital (inpatient)"",""13"",""long term care"",""2017"",""2017"",27.57,,"
